file,category,size_bytes,sha256,provenance,license,status,note
MAKISUPA.TTF,font,61240,cdd6d170b60ec598e35ec2878659a9833c07b33125be5ba48392bd9844602b65,R. Gast / DarkSide Productions; Makisupa.txt bundled,Custom conditionally-free font license,QUARANTINE,Written permission required to include the font as part of software/collection/library distributed publicly.
Makisupa.txt,font license text,2628,6acfc690b958cb3ab28d94528c99463f15a656586006be2f1214152b2008dec3,Bundled with MAKISUPA.TTF,License/notice,KEEP_WITH_FONT,Required notice; does not cure software-bundling permission requirement.
tradeyourkid.ogg,music,1655290,c09c45073a99420101cc0eb17171a87c211dd777daba98470806e39f43c7a2d2,README and music Attribution.txt: multifaros.info.se,No license terms found in package,QUARANTINE,Attribution is not a redistribution license.
Applause-J_Fairba-1717.wav,sound effect,133326,150f106e77f7df565bf5775bb1828a477c328de226fc301720214907d88363ee,"filename strongly suggests old Freesound: J_Fairba, id 1717",Individual license not preserved in package; likely Freesound-era Sampling+ if provenance hypothesis is correct,QUARANTINE,Exact historical sound page/license not recovered; Sampling+ would itself be unsuitable as a fully libre raw bundled asset.
Arcade_S-wwwbeat-1889.wav,sound effect,441044,027a0696367dad79090a34a8f10d1f4cdadcd9a7f9e36049c05558d39014af62,"filename strongly suggests old Freesound: wwwbeat, id 1889",Individual license not preserved in package; likely Freesound-era Sampling+ if provenance hypothesis is correct,QUARANTINE,Exact historical sound page/license not recovered; Sampling+ would itself be unsuitable as a fully libre raw bundled asset.
Electron-wwwbeat-1897.wav,sound effect,72074,c2a3ce36117f36fabe31c5cb591125463eb8c797d339ad04b1eec4215912cff4,"filename strongly suggests old Freesound: wwwbeat, id 1897",Individual license not preserved in package; likely Freesound-era Sampling+ if provenance hypothesis is correct,QUARANTINE,Exact historical sound page/license not recovered; Sampling+ would itself be unsuitable as a fully libre raw bundled asset.
delay_me-dog-298.wav,sound effect,789404,aef8c1bd29ca9121d42a911fbbedee7afb5d0e741eaaa278b53b57cc364037dd,"filename strongly suggests old Freesound: dog, id 298",Individual license not preserved in package; likely Freesound-era Sampling+ if provenance hypothesis is correct,QUARANTINE,Exact historical sound page/license not recovered; Sampling+ would itself be unsuitable as a fully libre raw bundled asset.
pop-SodaBush-1015.wav,sound effect,25584,a6ed364fe75d901f27c0c593b794bd408ac3fc897b7729c94602b53df5716d42,"filename strongly suggests old Freesound: SodaBush, id 1015",Individual license not preserved in package; likely Freesound-era Sampling+ if provenance hypothesis is correct,QUARANTINE,Exact historical sound page/license not recovered; Sampling+ would itself be unsuitable as a fully libre raw bundled asset.
thud.ogg,sound effect,4293,45e6ff08e5dfd484d78b96bb223aafa3b0085f3f03ebec7066ac5b55a807e02a,No attribution in package; Ogg encoder tag only,Unknown,QUARANTINE,No provenance or license statement found.
thud2.ogg,sound effect,4990,25c6285e57d0074098a6a479163c39d3ed9704e1e44b70eac72144cd2fdb6fe1,No attribution in package; Ogg encoder tag only,Unknown,QUARANTINE,No provenance or license statement found.
thud3.ogg,sound effect,5011,67a9b5208924d6c0637dc226b4786f16638d2c520edaf45d91d201d31069415e,No attribution in package; Ogg encoder tag only,Unknown,QUARANTINE,No provenance or license statement found.
icon.ico,icon/graphics,2686,9267db28f3dd353119f4879cd53667c14e9b5f4b427ba08cf9f5dfe3e111e7c4,No separate credit; likely project-authored but unproven,Probably package custom license if original,QUARANTINE_FOR_PUBLIC_REBUILD,Keep in historical /reference; replace or provenance-clear before Libre Arcade redistribution.
icon_pygame.png,icon/graphics,486,27960d51adb80fe315713a110d169243d4abcdac99905deb55ec3d2323dbcdf8,No separate credit; likely project-authored but unproven,Probably package custom license if original,QUARANTINE_FOR_PUBLIC_REBUILD,Keep in historical /reference; replace or provenance-clear before Libre Arcade redistribution.
sound.cfg,configuration,6,2a93ef399846526811d56221542f541f9397cd39f0b6718c7fbb44c08d2735fc,Project package,Package custom license,CLEARED_AS_PROJECT_DATA,Non-creative configuration/state file.
unlockedLevels.txt,configuration,1,6b86b273ff34fce19d6b804eff5a3f5747ada4eaa22f1d49c01e52ddb7875b4b,Project package,Package custom license,CLEARED_AS_PROJECT_DATA,Non-creative configuration/state file.
music Attribution.txt,attribution metadata,37,4c61bd27f27a85ec1c5fe1d234e6473bade93655bab470f53c7491cd9562218d,Project package,N/A,KEEP,Preserves music source attribution only.
